,name,Round,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
124,Mats-Hummels-,Matchweek 34,90,0,0,102,9,2,4,1,0.0,0.0,0.3,1,0,81,97,83.5,549,73,234,0,0
125,Mats-Hummels-,Final,90,2,0,,,,0,,,,,,,,,,,,,,
126,Mats-Hummels-,Friendlies (M),90,,,,,,,,,,,,,,,,,,,,
127,Mats-Hummels-,Group stage,90,1,1,48,16,1,2,1,0.1,0.1,0.0,0,0,35,36,97.2,287,22,91,0,0
128,Mats-Hummels-,Group stage,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
129,Mats-Hummels-,Group stage,90,5,1,84,15,5,3,1,0.9,0.9,0.0,2,0,61,69,88.4,452,54,301,2,2
130,Mats-Hummels-,,4256,53,11,2380,226,60,83,43,3.5,3.5,0.6,35,4,1842,2084,88.4,15546,1703,6314,10,13
131,Robert-Lewandowski-,DFL-Supercup,120,,,,,,,,,,,,,,,,,,,,
132,Robert-Lewandowski-,First round,63,7,2,,,,0,,,,,,,,,,,,,,
133,Robert-Lewandowski-,Matchweek 1,90,2,0,32,14,0,0,1,1.3,0.5,0.3,2,1,17,21,81.0,44,26,126,1,1
134,Robert-Lewandowski-,Matchweek 2,90,2,2,37,13,0,0,0,0.8,0.8,0.0,2,1,25,28,89.3,66,34,148,1,1
135,Robert-Lewandowski-,First round,90,,,,,,,,,,,,,,,,,,,,
136,Robert-Lewandowski-,First round,90,,,,,,,,,,,,,,,,,,,,
137,Robert-Lewandowski-,Matchweek 3,90,5,2,32,21,0,1,2,1.0,1.0,0.1,3,0,12,21,57.1,21,27,63,1,2
138,Robert-Lewandowski-,Group stage,90,7,3,,,,0,,,,,,,,,,,,,,
139,Robert-Lewandowski-,Matchweek 4,90,6,3,42,12,0,1,2,2.1,2.1,0.4,4,0,25,31,80.6,94,30,84,0,0
