,0
Marcello Gazzola,"['\xa0Unknown Injury', '\xa0Unknown Injury', 'not in squad', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Bruise', '\xa0Bruise', '\xa0Bruise', '\xa0Bruise', '\xa0Bruise', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', 'not in squad', '\xa0Bruise']"
Christian Maggio,[]
Simone Romagnoli,"['not in squad', 'not in squad']"
Konstantinos Manolas,"['\xa0Nasal Bone Fracture', '\xa0Muscle Fatigue', 'not in squad', '\xa0Nasal Bone Fracture', '\xa0Muscle Fatigue', '\xa0Biceps femoris muscle injury', '\xa0Yellow card suspension']"
Samuel Bastien,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Unknown Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Filippo Pavoni,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Luiz Felipe,"['not in squad', 'not in squad', 'With U19', 'With U19', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Titas Krapikas,"['With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros']"
Jordan Veretout,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Riccardo Meggiorini,"['\xa0Adductor problems', '\xa0Adductor problems', '\xa0Yellow card suspension', 'not in squad', 'not in squad', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', 'not in squad']"
Ognjen Stijepovic,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With youth team', 'not in squad', 'With youth team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With youth team', 'not in squad']"
Patrik Schick,[]
José Callejón,['\xa0Red card suspension']
Miralem Pjanic,"['\xa0Yellow card suspension', '\xa0Yellow card suspension']"
