,0
Dani Rebollo,[]
Pepe Castaño,[]
Mathieu Flamini,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', 'not in squad']"
Franco Vázquez,"['\xa0Indirect card suspension', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Alex Alegría,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hip Injury', '\xa0Hip Injury']"
Youssouf Yalike,[]
Robert Mazan,"['\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', 'With the 2nd team', 'With the 2nd team', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture', '\xa0Achilles tendon rupture']"
Javi Castellano,"['\xa0Knee inflammation ', '\xa0Knee inflammation ', '\xa0Knee inflammation ', '\xa0Knee inflammation ', '\xa0Knee inflammation ', '\xa0Knee inflammation ', '\xa0Knee inflammation ', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury']"
Alberto Redondo,[]
André Gomes,"['\xa0Yellow card suspension', '\xa0Muscle bruise', 'not in squad', 'not in squad', 'not in squad']"
