0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Jonathan Walters,,,not in squad,,, Knee Problems, Knee Problems, Knee Problems, Knee Problems, Knee Problems, Knee Problems, Knee Problems, Knee Problems, Knee Problems, Knee Problems, Knee Problems, Knee Problems, Knee Problems,,,,,, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,,not in squad,not in squad,not in squad
Oliver McBurnie,,,,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,not in squad,,,With the U21s,With the U21s,,,not in squad,With the U21s,With the U21s,,,,,,,not in squad,,,,,,,,,,,,,
Fabian Delph,not in squad,not in squad,,,,,,,,,,,,,,,,,,not in squad,not in squad,,, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Red card suspension, Red card suspension, Muscle Injury,not in squad, Muscle Injury,,,,,,
Jamal Blackman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace Oliveira,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Jay Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Chilwell,,,,,,,,,,,not in squad,,,,,,,,,,not in squad,not in squad,,,,,,,,, Ankle Injury,,,,,, Ankle Injury, Ankle Injury
Ashley Westwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krystian Bielik,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,,,,,,,,,
Dejan Iliev,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad
