0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Michael Carrick,not in squad,not in squad,not in squad,,,, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition, Heart Condition,not in squad,,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,
André Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International match,,not in squad,not in squad,,not in squad,not in squad
Guido Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Andy Carroll, Groin Injury, Groin Injury, Groin Injury,,,,,, Indirect card suspension,,,,,not in squad,not in squad,,,not in squad,,,,, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle, Injury to the ankle,, Injury to the ankle, Injury to the ankle,,,,,
Tom Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Carter-Vickers,,not in squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Cathcart, Muscle Injury, Muscle Injury,, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,not in squad,,,,,,,,
Diego Cavalieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,not in squad,not in squad,,not in squad
Santi Cazorla, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery
Petr Cech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,not in squad,,,not in squad
Nacer Chadli,,,,not in squad,not in squad,With the U21s,,,,,, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Knock, Knock, Knock,,
Nathaniel Chalobah,,,,,, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery,
Trevoh Chalobah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Chambers,not in squad,not in squad,not in squad,not in squad,With the 2nd team, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury,not in squad,not in squad,not in squad,not in squad,,,not in squad,,,,,,,,,,,,not in squad,,,,,,,not in squad
Harry Charsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Chilwell,,,,,,,,,,,not in squad,,,,,,,,,,not in squad,not in squad,,,,,,,,, Ankle Injury,,,,,, Ankle Injury, Ankle Injury
Hamza Choudhury,,,,,,,,,,,,,,,,,,,,,,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,,not in squad,,,,,,
Andreas Christensen,,,,,,,,,,,,,,,,,,,,not in squad,,,,,, Hamstring Injury,,,,,,,,,,,,
Ciaran Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,, Knee Injury,,,,,, Knee Injury, Knee Injury
Jake Clarke-Salter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Cleverley,,,,,,,,,,,,,,,,,, Indirect card suspension,,,,,,not in squad,, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury
Sam Clucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,
